Year,Month,Number of Delays,Temperature,Pressure,Precipitation,Relative Humidity (RH),Wind Speed 2m,Wind Speed 10m,Wind Direction 2m,Wind Direction 10m,Vector Wind Shear
2013,1,1308,8.53,99.04,3.9,85.28,1.41,3,256,254,0.198952476
2013,2,1386,6.51,98.6,7.46,82.54,1.58,3.22,305.1,304.8,0.205005315
2013,3,1632,7.73,98.63,3.75,79.46,1.67,3.48,289.5,289.4,0.226250611
2013,4,1234,15.12,98.72,3.98,82.01,1.41,2.98,128.7,129.5,0.196282607
2013,5,1352,18.89,98.65,4.13,80.85,1.31,2.75,189.9,194.6,0.181048493
2013,6,4638,23.98,98.4,5.82,83.85,1.09,2.29,218.8,214.8,0.150632041
2013,7,5741,24.61,98.62,7.02,84.54,0.96,2,164.8,166.8,0.130140502
2013,8,2265,24.35,98.64,3.53,83.36,0.95,1.99,77.3,77.2,0.130000346
2013,9,734,22.32,98.53,1.9,77.51,1.04,2.2,75,75.4,0.145006008
2013,10,456,17.14,98.7,1.28,73.81,1.03,2.21,359.8,14.7,0.155396482
2013,11,1150,9.31,99.13,1.84,67.75,1.39,2.98,34.9,36.1,0.198821406
2013,12,1677,7.81,98.95,6.79,84.23,1.38,2.96,268.6,267.7,0.197539864
2014,1,1822,1.12,98.86,2.34,77.58,1.55,3.26,292.5,288.4,0.21469322
2014,2,872,6.54,98.63,3.86,84.08,1.52,3.18,306.6,303.7,0.207965601
2014,3,411,9.77,98.58,3.27,80.11,1.54,3.2,296.7,291,0.209326759
2014,4,1119,15.57,98.49,5.19,81.83,1.53,3.25,218.9,221.3,0.215316753
2014,5,1348,20.42,98.73,2.81,80.86,1.09,2.37,241.3,238.6,0.160279813
2014,6,2849,24.71,98.53,3.07,79.6,0.9,1.9,265.4,262.3,0.125312396
2014,7,1396,25.71,98.53,3.18,70.41,1.03,2.11,271.9,267.9,0.135611353
2014,8,2067,26.38,98.49,2.42,66.05,0.94,1.89,343.4,342.3,0.118793072
2014,9,1742,24.01,98.64,2.33,72.45,0.98,1.95,66.7,65.9,0.121274002
2014,10,1118,17.71,98.47,2.92,71.6,1.24,2.63,260.6,262.5,0.173911162
2014,11,460,7.8,98.93,2.76,69.47,1.46,3.13,295.2,294.4,0.208783339
2014,12,786,8.29,98.95,3.78,84.52,1.24,2.67,332.9,333.3,0.178757052
2015,1,1418,4.53,99.06,2.57,80.79,1.43,3.04,311.7,311.9,0.201252056
2015,2,1385,3.15,98.84,4.01,77.11,1.68,3.42,306.2,305.6,0.217522631
2015,3,1451,12.74,98.88,2.73,82.1,1.44,2.97,306,302.6,0.191864039
2015,4,1151,17.34,98.47,6.16,83.15,1.36,2.86,224.9,223.1,0.187659872
2015,5,1847,21.26,98.95,3.25,77.74,1.04,2.21,147.8,146.8,0.146287395
2015,6,2510,25.8,98.54,2.48,73.72,0.88,1.83,253.9,249.5,0.119372873
2015,7,2048,27.54,98.43,3.05,70.6,1,2.04,286.6,284.7,0.130134733
2015,8,1634,26.42,98.44,4.06,69.11,1.08,2.17,69.3,76.1,0.138127662
2015,9,824,22.5,98.51,3.56,74.97,1.03,2.16,54.8,53.7,0.141295347
2015,10,221,16.69,98.58,2.5,77.5,1.19,2.54,49.1,48.3,0.168777278
2015,11,1122,13.01,99,6.85,86.49,1.3,2.82,81.7,80.2,0.190103282
2015,12,1781,12.6,98.82,10.42,89.34,1.28,2.8,181.2,178.5,0.190326914
2016,1,458,3.9,98.71,3.37,85.51,1.47,3.09,309.5,307.5,0.202713394
2016,2,912,7.15,98.73,4.42,83.87,1.71,3.56,269.4,268.8,0.231272552
2016,3,603,13.74,98.62,2.97,82.5,1.46,3.12,229,225.9,0.208001334
2016,4,506,16.05,98.65,2.87,77.57,1.41,2.97,222.3,211.5,0.200855645
